Branchcode,Branchname,Bic
20040050,Commerzbank GF COC,COBADEFF208
22140028,Commerzbank Stade,COBADEFF209
21040010,Commerzbank Kiel,COBADEFF210
21741674,Commerzbank Niebüll,COBADEFF211
21240040,Commerzbank Neumünster,COBADEFF212
20040000,Commerzbank Reinbek,COBADEFF213
21440045,Commerzbank Rendsburg,COBADEFF214
21540060,Commerzbank Flensburg,COBADEFF215
21040010,Commerzbank Schleswig,COBADEFF216
21740043,Commerzbank Husum Nordsee,COBADEFF217
21840078,Commerzbank Heide Holst,COBADEFF218
21841328,Commerzbank Brunsbüttel,COBADEFF219
21741825,Commerzbank Westerland,COBADEFF220
22140028,Commerzbank Elmshorn,COBADEFF221
22240073,Commerzbank Itzehoe,COBADEFF222
22141628,Commerzbank Uetersen,COBADEFF223
22141028,Commerzbank Kaltenkirchen,COBADEFF224
21241540,Commerzbank Bad Bramstedt,COBADEFF225
21340010,Commerzbank Neustadt Holst,COBADEFF226
21240040,Commerzbank Wahlstedt,COBADEFF227
23040022,Commerzbank Lübeck,COBADEFF230
20040000,Commerzbank Bad Oldesloe,COBADEFF231
23040022,Commerzbank Bad Schwartau,COBADEFF232
23040022,Commerzbank Mölln,COBADEFF234
25841708,Commerzbank Schneverdingen,COBADEFF239
24040000,Commerzbank Lüneburg,COBADEFF240
24140041,Commerzbank Cuxhaven,COBADEFF241
29040090,Commerzbank Bremervörde,COBADEFF242
26640049,Commerzbank Meppen,COBADEFF243
25841403,Commerzbank Lüchow,COBADEFF244
21042076,Commerzbank Eckernförde,COBADEFF245
26540070,Commerzbank Dissen Teutobg,COBADEFF246
49240096,Commerzbank Lübbecke Westf,COBADEFF247
51040038,Commerzbank Rüdesheim Rh,COBADEFF248
25840048,Commerzbank Uelzen,COBADEFF249
25040066,Commerzbank Hannover,COBADEFF250
27240004,Commerzbank Holzminden,COBADEFF251
27040080,Commerzbank Peine,COBADEFF252
25040066,Commerzbank Alfeld Leine,COBADEFF253
25440047,Commerzbank Hameln,COBADEFF254
47640051,Commerzbank Bad Pyrmont,COBADEFF255
25641302,Commerzbank Diepholz,COBADEFF256
25740061,Commerzbank Celle,COBADEFF257
29040090,Commerzbank Nienburg Weser,COBADEFF258
25940033,Commerzbank Hildesheim,COBADEFF259
26040030,Commerzbank Göttingen,COBADEFF260
25040066,Commerzbank Walsrode,COBADEFF261
26240039,Commerzbank Einbeck,COBADEFF262
26340056,Commerzbank Osterode Harz,COBADEFF263
26240039,Commerzbank Northeim Han,COBADEFF264
26540070,Commerzbank Osnabrück,COBADEFF265
26640049,Commerzbank Lingen Ems,COBADEFF266
26740044,Commerzbank Nordhorn,COBADEFF267
26840032,Commerzbank Goslar,COBADEFF268
26941053,Commerzbank Wolfsburg,COBADEFF269
27040080,Commerzbank Braunschweig,COBADEFF270
27040080,Commerzbank Gifhorn,COBADEFF271
26840032,Commerzbank Bad Harzburg,COBADEFF272
27040080,Commerzbank Helmstedt,COBADEFF273
27040080,Commerzbank Schöningen,COBADEFF274
25541426,Commerzbank Bückeburg,COBADEFF275
27040080,Commerzbank Salzgitter,COBADEFF276
27040080,Commerzbank Wolfenbüttel,COBADEFF277
26341072,Commerzbank Herzberg Harz,COBADEFF278
29040090,Commerzbank Rotenburg Wümme,COBADEFF279
29040090,Commerzbank Nordenham,COBADEFF280
